                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1488,                 2.8802,                 1.3124,                0.01493,                0.62444,                 0.2676,                0.20318,                0.91326,                    inf,                 1.1203,             0.00022864,             0.00022864,             0.00022864
                      2,                 1.0608,                 1.2554,                 1.1887,                0.88449,                0.20745,                0.42555,                0.30413,                0.86197,                    inf,                 1.0604,             0.00046924,             0.00046924,             0.00046924
                      3,                 1.0444,                 1.0275,                 1.1711,                 0.9408,                0.21819,                0.63439,                0.45908,                0.90383,                 2.7187,                 1.1284,             0.00070743,             0.00070743,             0.00070743
                      4,                 1.0153,                0.92677,                 1.1582,                0.93864,                0.40098,                0.81518,                 0.5817,                0.90239,                 2.1169,                 1.1723,             0.00094321,             0.00094321,             0.00094321
                      5,                 1.0086,                0.87728,                 1.1517,                0.72809,                0.47614,                0.60782,                0.41397,                 1.0308,                 2.0385,                 1.2829,              0.0011766,              0.0011766,              0.0011766
                      6,                 1.0149,                0.86379,                 1.1653,                0.57912,                0.59565,                0.59661,                0.40914,                 1.0254,                 2.1988,                 1.2575,              0.0013936,              0.0013936,              0.0013936
                      7,                0.99292,                0.82029,                 1.1565,                0.74235,                0.31593,                 0.5473,                0.38523,                 1.0238,                 2.2865,                 1.2283,              0.0013866,              0.0013866,              0.0013866
                      8,                 1.0008,                0.77117,                 1.1502,                0.43986,                0.56574,                0.43125,                 0.2507,                 1.0891,                 2.6735,                 1.2984,              0.0013795,              0.0013795,              0.0013795
                      9,                0.97504,                0.71968,                 1.1355,                0.78164,                0.79416,                0.81944,                0.57502,                0.93679,                0.82142,                 1.2041,              0.0013724,              0.0013724,              0.0013724
                     10,                0.98211,                0.70344,                 1.1448,                0.86607,                0.77402,                0.87655,                 0.6028,                0.99865,                0.74788,                 1.2142,              0.0013653,              0.0013653,              0.0013653
                     11,                0.95774,                0.66996,                 1.1279,                0.53154,                0.72155,                0.73252,                0.51782,                0.89543,                 1.3898,                 1.1781,              0.0013583,              0.0013583,              0.0013583
                     12,                0.94209,                0.64771,                 1.1195,                 0.6973,                0.73018,                0.75323,                0.54517,                0.93172,                0.92796,                 1.1881,              0.0013512,              0.0013512,              0.0013512
                     13,                0.95458,                0.63118,                  1.135,                0.82656,                0.85002,                0.87872,                  0.629,                0.90926,                0.67641,                   1.14,              0.0013441,              0.0013441,              0.0013441
                     14,                0.93952,                0.61356,                 1.1224,                0.80205,                0.72264,                0.79981,                0.55316,                0.92889,                0.78389,                 1.1373,               0.001337,               0.001337,               0.001337
                     15,                0.95376,                0.63329,                 1.1346,                0.87095,                0.86442,                0.90704,                0.65516,                0.84053,                0.58064,                 1.1021,                0.00133,                0.00133,                0.00133
                     16,                0.90253,                0.58973,                  1.107,                0.87372,                0.87879,                 0.9333,                0.67973,                0.84701,                0.52843,                 1.1087,              0.0013229,              0.0013229,              0.0013229
                     17,                 0.9121,                0.58089,                 1.1058,                0.78201,                0.80449,                0.86223,                0.61836,                0.88422,                0.71361,                 1.1052,              0.0013158,              0.0013158,              0.0013158
                     18,                0.92289,                0.58031,                 1.1048,                0.67486,                0.76124,                0.74102,                0.55003,                0.92352,                0.91767,                 1.1493,              0.0013087,              0.0013087,              0.0013087
                     19,                0.89074,                0.56586,                 1.1073,                 0.8749,                  0.792,                0.88282,                0.65532,                0.81201,                0.59702,                 1.0842,              0.0013017,              0.0013017,              0.0013017
                     20,                0.90604,                0.55857,                 1.1057,                0.88821,                0.86552,                0.92938,                0.66672,                0.81311,                0.52601,                 1.1003,              0.0012946,              0.0012946,              0.0012946
                     21,                0.91495,                0.54344,                 1.0994,                 0.8635,                0.82863,                0.90357,                0.65223,                0.87142,                0.55223,                 1.1076,              0.0012875,              0.0012875,              0.0012875
                     22,                0.88268,                 0.5414,                 1.0915,                0.88067,                0.90339,                0.94313,                0.69685,                0.83166,                0.51067,                 1.0899,              0.0012805,              0.0012805,              0.0012805
                     23,                0.88865,                0.53609,                 1.0933,                0.85223,                0.89987,                 0.9215,                0.66692,                 0.8519,                 0.5708,                 1.1164,              0.0012734,              0.0012734,              0.0012734
                     24,                0.89603,                0.53963,                 1.0916,                 0.8877,                0.90459,                0.93094,                0.68362,                0.82293,                0.57768,                 1.0915,              0.0012663,              0.0012663,              0.0012663
