                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83354,                0.49465,                 1.0709,                0.87512,                0.87411,                0.91749,                0.68301,                0.87326,                0.69512,                 1.1014,              0.0096634,              0.0096634,              0.0096634
                     36,                0.81841,                0.48174,                 1.0609,                 0.8862,                0.86538,                0.91281,                0.67495,                0.85899,                0.69324,                 1.0942,              0.0096535,              0.0096535,              0.0096535
                     37,                0.82117,                0.49135,                 1.0587,                0.88272,                0.88459,                0.92623,                0.69341,                0.74617,                0.58757,                0.93396,              0.0096436,              0.0096436,              0.0096436
                     38,                0.82245,                0.48942,                 1.0627,                0.85344,                0.85513,                0.90056,                0.64976,                0.90011,                0.76479,                 1.0967,              0.0096337,              0.0096337,              0.0096337
                     39,                0.81991,                0.48844,                 1.0662,                0.88405,                0.87223,                0.92283,                0.68263,                0.82744,                0.71309,                0.99202,              0.0096238,              0.0096238,              0.0096238
                     40,                0.80357,                0.47425,                 1.0611,                0.90047,                0.85623,                0.91645,                0.68453,                0.82153,                0.61633,                  1.045,              0.0096139,              0.0096139,              0.0096139
                     41,                 0.7968,                0.47506,                 1.0534,                0.85341,                 0.8465,                0.89749,                0.66643,                0.91534,                 0.7543,                 1.1708,               0.009604,               0.009604,               0.009604
                     42,                0.81488,                0.47407,                 1.0539,                0.78052,                0.79523,                0.86356,                0.64839,                0.96575,                0.78793,                 1.2345,              0.0095941,              0.0095941,              0.0095941
                     43,                0.79614,                0.47256,                 1.0571,                  0.819,                0.81351,                 0.8885,                0.66987,                0.84682,                 0.6482,                  1.042,              0.0095842,              0.0095842,              0.0095842
                     44,                0.79881,                  0.472,                 1.0523,                0.87041,                0.91582,                0.93934,                0.70226,                0.78278,                0.59837,                0.98437,              0.0095743,              0.0095743,              0.0095743
                     45,                0.78708,                0.46327,                 1.0529,                0.87887,                0.84791,                0.90364,                0.66667,                 1.0525,                0.93031,                 1.3824,              0.0095644,              0.0095644,              0.0095644
                     46,                0.77637,                0.45773,                 1.0394,                0.75224,                0.79761,                0.81321,                0.59043,                 1.1363,                 1.2871,                 1.5647,              0.0095545,              0.0095545,              0.0095545
                     47,                0.78746,                0.46089,                 1.0465,                0.89766,                0.86047,                0.89758,                 0.6797,                0.76645,                0.58819,                0.97669,              0.0095446,              0.0095446,              0.0095446
                     48,                0.79734,                0.46195,                 1.0457,                0.85893,                0.85332,                0.91265,                0.68781,                0.83323,                0.63166,                 1.0388,              0.0095347,              0.0095347,              0.0095347
                     49,                 0.7703,                0.45455,                 1.0395,                0.89711,                0.88863,                0.92298,                 0.6818,                0.78754,                0.58077,                 0.9885,              0.0095248,              0.0095248,              0.0095248
                     50,                0.76369,                0.45277,                  1.045,                0.80929,                0.77724,                0.85421,                0.64153,                0.89584,                0.72009,                 1.1676,              0.0095149,              0.0095149,              0.0095149
                     51,                0.78305,                0.45398,                 1.0427,                0.68347,                0.74597,                0.74381,                0.56522,                0.81472,                0.81078,                 1.0269,               0.009505,               0.009505,               0.009505
                     52,                0.77649,                0.44516,                 1.0376,                0.90438,                0.90614,                0.93858,                0.69954,                0.85749,                 0.5794,                   1.09,              0.0094951,              0.0094951,              0.0094951
                     53,                0.77626,                0.44922,                 1.0381,                0.88355,                0.84949,                0.90538,                0.65735,                0.87518,                0.66327,                 1.0409,              0.0094852,              0.0094852,              0.0094852
                     54,                 0.7668,                0.44726,                 1.0353,                0.87046,                0.81179,                0.89002,                0.65551,                0.77907,                0.70796,                0.95899,              0.0094753,              0.0094753,              0.0094753
                     55,                0.76809,                0.44842,                 1.0395,                0.78843,                0.83034,                0.87107,                0.65651,                0.86875,                0.67086,                 1.1257,              0.0094654,              0.0094654,              0.0094654
                     56,                0.75924,                0.44463,                 1.0402,                0.90369,                0.86852,                0.91857,                 0.6848,                0.82045,                0.59927,                 1.0002,              0.0094555,              0.0094555,              0.0094555
                     57,                0.75258,                0.44403,                 1.0288,                0.89159,                0.84179,                0.91273,                0.68029,                0.85595,                0.67769,                 1.0317,              0.0094456,              0.0094456,              0.0094456
                     58,                0.76198,                 0.4401,                 1.0336,                0.87382,                0.84817,                0.90498,                 0.6661,                0.84041,                0.66924,                 1.0773,              0.0094357,              0.0094357,              0.0094357
                     59,                0.76346,                0.44475,                  1.035,                0.89831,                0.90123,                 0.9377,                 0.7197,                0.76876,                0.52621,                0.95311,              0.0094258,              0.0094258,              0.0094258
                     60,                0.76186,                0.44159,                 1.0386,                0.86175,                0.87418,                0.91569,                0.69692,                0.89604,                0.82222,                  1.193,              0.0094159,              0.0094159,              0.0094159
                     61,                 0.7511,                0.43922,                 1.0277,                0.89582,                0.89942,                0.93894,                0.70344,                0.78493,                0.56418,                0.97301,               0.009406,               0.009406,               0.009406
                     62,                 0.7504,                0.43642,                 1.0257,                0.83093,                0.79904,                0.87274,                0.64992,                0.85373,                 0.6581,                 1.0574,              0.0093961,              0.0093961,              0.0093961
                     63,                0.74265,                0.42803,                 1.0211,                0.90698,                0.85524,                0.91414,                0.67872,                0.85301,                0.59496,                 1.0525,              0.0093862,              0.0093862,              0.0093862
                     64,                0.73532,                0.42531,                 1.0247,                0.84438,                0.86209,                0.91249,                0.67321,                0.88442,                0.68308,                 1.0763,              0.0093763,              0.0093763,              0.0093763
                     65,                0.75307,                0.43417,                 1.0295,                0.87753,                0.88531,                0.92103,                0.69303,                0.78082,                0.52559,                0.95164,              0.0093664,              0.0093664,              0.0093664
                     66,                0.74151,                0.43249,                  1.029,                0.89913,                0.89838,                 0.9391,                0.69976,                0.82436,                0.58459,                 1.0133,              0.0093565,              0.0093565,              0.0093565
                     67,                0.73926,                0.42889,                 1.0223,                0.90482,                0.89771,                0.93576,                0.70208,                0.78626,                0.52181,                 0.9771,              0.0093466,              0.0093466,              0.0093466
                     68,                0.74256,                0.42489,                 1.0243,                0.87734,                 0.8911,                0.92981,                0.70318,                0.72651,                 0.5456,                0.90314,              0.0093367,              0.0093367,              0.0093367
                     69,                0.74067,                0.42803,                 1.0239,                 0.9092,                0.88634,                0.93241,                0.70111,                0.80464,                 0.5241,                0.97999,              0.0093268,              0.0093268,              0.0093268
                     70,                 0.7379,                0.42931,                 1.0231,                0.90877,                0.90331,                0.93623,                0.70657,                0.77581,                0.55661,                0.97178,              0.0093169,              0.0093169,              0.0093169
                     71,                 0.7328,                 0.4242,                 1.0208,                0.87106,                0.89815,                 0.9396,                0.72019,                0.76388,                0.52729,                0.97433,               0.009307,               0.009307,               0.009307
                     72,                0.72227,                0.41597,                 1.0183,                0.89954,                0.91204,                0.93429,                0.71025,                0.78791,                 0.5244,                0.99705,              0.0092971,              0.0092971,              0.0092971
                     73,                0.72546,                0.42035,                 1.0115,                0.84697,                0.83838,                0.89532,                0.65125,                  1.038,                0.83706,                 1.3178,              0.0092872,              0.0092872,              0.0092872
                     74,                0.73497,                0.42174,                 1.0198,                0.87531,                0.87101,                0.91882,                 0.6802,                0.97164,                0.70787,                 1.3293,              0.0092773,              0.0092773,              0.0092773
                     75,                0.72757,                0.41447,                 1.0159,                0.89956,                0.86647,                0.92119,                0.70073,                0.76102,                0.58877,                0.95384,              0.0092674,              0.0092674,              0.0092674
                     76,                0.72285,                0.41158,                 1.0191,                0.89101,                0.88862,                0.93141,                0.71476,                0.73713,                0.53902,                0.93327,              0.0092575,              0.0092575,              0.0092575
                     77,                0.72131,                0.41026,                 1.0166,                0.88716,                0.89745,                0.93276,                0.70561,                0.75454,                0.53984,                0.95303,              0.0092476,              0.0092476,              0.0092476
                     78,                0.72175,                0.41446,                 1.0135,                0.91936,                0.89514,                0.93355,                0.70565,                0.76981,                0.53763,                0.96369,              0.0092377,              0.0092377,              0.0092377
